yeo,meas,val
1,1,0.83708
2,1,2.574
3,1,3.4859
4,1,2.6938
5,1,0.95639
6,1,5.2813
7,1,3.5231
1,2,-1.28709124382564
2,2,-0.386538113685217
3,2,0.966778085167153
4,2,0.189300094407573
5,2,4.6570719990635
6,2,4.66735427800329
7,2,2.01757161504737
1,3,5.83240502584626
2,3,6.027384812539
3,3,5.26227706631099
4,3,6.22335267943928
5,3,5.57136456664369
6,3,2.59242829411787
7,3,5.46532241225956
1,4,1.21265115366672
2,4,1.62770307139276
3,4,4.40920559006388
4,4,1.65096992423488
5,4,1.12975136416879
6,4,3.25772708209159
7,4,2.4060774368355
