"","Commonality","R2","Age_z.Inc","DMN_z.Inc","DMN_Wz.Inc","Motion_z.Inc","sex.Inc"
"Age_z","0.314(0.248,0.374)","0.457(0.401,0.513)","NA","0.001(0.000,0.008)","0.000(0,0.007)","0.005(0.000,0.021)","0.007(0.000,0.022)"
"DMN_z","0.000(0.000,0.006)","0.038(0.014,0.072)","0.419(0.360,0.476)","NA","0.000(0,0.010)","0.112(0.063,0.173)","0.004(0.000,0.023)"
"DMN_Wz","0.000(0.000,0.006)","0.002(0.000,0.018)","0.454(0.398,0.511)","0.036(0.013,0.069)","NA","0.129(0.073,0.194)","0.006(0.000,0.028)"
"Motion_z","0.004(0.000,0.019)","0.127(0.073,0.194)","0.334(0.270,0.395)","0.024(0.005,0.051)","0.004(0,0.020)","NA","0.003(0.000,0.018)"
"sex","0.006(0.000,0.020)","0.006(0.000,0.028)","0.458(0.402,0.514)","0.037(0.013,0.070)","0.003(0,0.019)","0.124(0.071,0.189)","NA"
"Age_z,DMN_z","0.019(0.003,0.041)","0.458(0.402,0.515)","NA","NA","0.000(0,0.006)","0.004(0.000,0.021)","0.007(0.000,0.022)"
"Age_z,DMN_Wz","0.001(-0.002,0.009)","0.457(0.402,0.514)","NA","0.001(0.000,0.008)","NA","0.005(0.000,0.021)","0.007(0.001,0.022)"
"DMN_z,DMN_Wz","0.000(-0.001,0.002)","0.039(0.016,0.075)","0.419(0.358,0.474)","NA","NA","0.113(0.063,0.173)","0.004(0.000,0.024)"
"Age_z,Motion_z","0.107(0.061,0.154)","0.461(0.405,0.519)","NA","0.001(0.000,0.008)","0.000(0,0.007)","NA","0.006(0.000,0.020)"
"DMN_z,Motion_z","0.000(0.000,0.001)","0.151(0.096,0.219)","0.311(0.246,0.372)","NA","0.001(0,0.013)","NA","0.002(0.000,0.015)"
"DMN_Wz,Motion_z","0.000(-0.001,0.001)","0.131(0.079,0.200)","0.330(0.267,0.392)","0.021(0.004,0.046)","NA","NA","0.003(0.000,0.019)"
"Age_z,sex","-0.004(-0.011,0.003)","0.464(0.412,0.519)","NA","0.001(0.000,0.006)","0.000(0,0.007)","0.004(0.000,0.019)","NA"
"DMN_z,sex","0.000(-0.001,0.002)","0.043(0.018,0.082)","0.422(0.362,0.479)","NA","0.000(0,0.010)","0.110(0.061,0.170)","NA"
"DMN_Wz,sex","0.000(-0.001,0.001)","0.009(0.001,0.036)","0.455(0.400,0.511)","0.034(0.011,0.067)","NA","0.126(0.071,0.190)","NA"
"Motion_z,sex","0.001(0.000,0.003)","0.130(0.077,0.198)","0.337(0.273,0.399)","0.023(0.005,0.050)","0.004(0,0.021)","NA","NA"
"Age_z,DMN_z,DMN_Wz","0.003(-0.002,0.009)","0.458(0.404,0.515)","NA","NA","NA","0.005(0.000,0.020)","0.007(0.000,0.022)"
"Age_z,DMN_z,Motion_z","0.014(0.004,0.031)","0.462(0.408,0.520)","NA","NA","0.000(0,0.007)","NA","0.006(0.000,0.020)"
"Age_z,DMN_Wz,Motion_z","-0.001(-0.004,0.004)","0.461(0.407,0.520)","NA","0.001(0.000,0.007)","NA","NA","0.006(0.000,0.020)"
"DMN_z,DMN_Wz,Motion_z","0.000(0.000,0.000)","0.152(0.100,0.222)","0.310(0.244,0.370)","NA","NA","NA","0.002(0.000,0.016)"
"Age_z,DMN_z,sex","0.001(-0.001,0.004)","0.464(0.413,0.521)","NA","NA","0.000(0,0.006)","0.004(0.000,0.019)","NA"
"Age_z,DMN_Wz,sex","0.000(-0.001,0.001)","0.464(0.414,0.519)","NA","0.001(0.000,0.006)","NA","0.004(0.000,0.020)","NA"
"DMN_z,DMN_Wz,sex","0.000(0.000,0.000)","0.043(0.020,0.084)","0.422(0.361,0.477)","NA","NA","0.111(0.062,0.171)","NA"
"Age_z,Motion_z,sex","0.001(-0.002,0.007)","0.468(0.414,0.522)","NA","0.001(0.000,0.007)","0.000(0,0.007)","NA","NA"
"DMN_z,Motion_z,sex","0.000(0.000,0.000)","0.153(0.100,0.221)","0.315(0.248,0.375)","NA","0.001(0,0.013)","NA","NA"
"DMN_Wz,Motion_z,sex","0.000(0.000,0.000)","0.134(0.082,0.204)","0.333(0.269,0.395)","0.020(0.004,0.044)","NA","NA","NA"
"Age_z,DMN_z,DMN_Wz,Motion_z","0.000(-0.004,0.003)","0.462(0.408,0.521)","NA","NA","NA","NA","0.006(0.000,0.020)"
"Age_z,DMN_z,DMN_Wz,sex","0.000(-0.001,0.000)","0.464(0.414,0.522)","NA","NA","NA","0.004(0.000,0.019)","NA"
"Age_z,DMN_z,Motion_z,sex","0.001(0.000,0.004)","0.468(0.416,0.524)","NA","NA","0.000(0,0.006)","NA","NA"
"Age_z,DMN_Wz,Motion_z,sex","0.000(0.000,0.001)","0.468(0.418,0.524)","NA","0.000(0.000,0.006)","NA","NA","NA"
"DMN_z,DMN_Wz,Motion_z,sex","0.000(0.000,0.000)","0.154(0.103,0.223)","0.314(0.248,0.374)","NA","NA","NA","NA"
"Age_z,DMN_z,DMN_Wz,Motion_z,sex","0.000(-0.001,0.000)","0.468(0.418,0.525)","NA","NA","NA","NA","NA"
