"","Commonality","R2","Age_z.Inc","Limbic_z.Inc","Limbic_Wz.Inc","motion.Inc","sex.Inc"
"Age_z","0.330(0.260,0.400)","0.457(0.396,0.514)","NA","0.001(0.000,0.009)","0(0,0.006)","0.005(0.000,0.022)","0.007(0,0.022)"
"Limbic_z","0.000(0.000,0.008)","0.017(0.001,0.049)","0.441(0.376,0.499)","NA","0(0,0.010)","0.118(0.073,0.177)","0.006(0,0.029)"
"Limbic_Wz","0.000(0.000,0.006)","0.000(0.000,0.011)","0.457(0.395,0.514)","0.017(0.001,0.049)","NA","0.127(0.077,0.194)","0.006(0,0.028)"
"motion","0.004(0.000,0.019)","0.127(0.077,0.193)","0.334(0.266,0.402)","0.008(0.000,0.029)","0(0,0.009)","NA","0.003(0,0.020)"
"sex","0.006(0.000,0.021)","0.006(0.000,0.027)","0.458(0.398,0.517)","0.017(0.001,0.051)","0(0,0.010)","0.124(0.075,0.191)","NA"
"Age_z,Limbic_z","0.008(-0.002,0.024)","0.457(0.397,0.518)","NA","NA","0(0,0.006)","0.004(0.000,0.021)","0.007(0,0.022)"
"Age_z,Limbic_Wz","0.000(-0.003,0.007)","0.457(0.398,0.515)","NA","0.001(0.000,0.008)","NA","0.005(0.000,0.022)","0.007(0,0.022)"
"Limbic_z,Limbic_Wz","0.000(-0.001,0.001)","0.017(0.002,0.052)","0.441(0.376,0.499)","NA","NA","0.118(0.072,0.177)","0.006(0,0.029)"
"Age_z,motion","0.112(0.070,0.158)","0.461(0.399,0.521)","NA","0.000(0.000,0.008)","0(0,0.006)","NA","0.006(0,0.021)"
"Limbic_z,motion","0.000(0.000,0.002)","0.135(0.082,0.211)","0.327(0.257,0.398)","NA","0(0,0.009)","NA","0.003(0,0.021)"
"Limbic_Wz,motion","0.000(0.000,0.001)","0.127(0.078,0.196)","0.334(0.267,0.402)","0.008(0.000,0.028)","NA","NA","0.003(0,0.020)"
"Age_z,sex","-0.003(-0.011,0.005)","0.464(0.405,0.522)","NA","0.001(0.000,0.009)","0(0,0.007)","0.004(0.000,0.020)","NA"
"Limbic_z,sex","0.000(-0.001,0.000)","0.023(0.005,0.060)","0.441(0.376,0.498)","NA","0(0,0.010)","0.115(0.070,0.174)","NA"
"Limbic_Wz,sex","0.000(-0.001,0.001)","0.006(0.000,0.031)","0.458(0.396,0.516)","0.017(0.001,0.051)","NA","0.124(0.075,0.192)","NA"
"motion,sex","0.001(0.000,0.003)","0.130(0.080,0.199)","0.337(0.270,0.406)","0.008(0.000,0.029)","0(0,0.008)","NA","NA"
"Age_z,Limbic_z,Limbic_Wz","0.000(-0.002,0.002)","0.457(0.399,0.519)","NA","NA","NA","0.004(0.000,0.021)","0.007(0,0.023)"
"Age_z,Limbic_z,motion","0.009(0.001,0.024)","0.462(0.401,0.522)","NA","NA","0(0,0.006)","NA","0.006(0,0.021)"
"Age_z,Limbic_Wz,motion","0.000(-0.002,0.003)","0.461(0.402,0.523)","NA","0.000(0.000,0.007)","NA","NA","0.006(0,0.021)"
"Limbic_z,Limbic_Wz,motion","0.000(0.000,0.000)","0.135(0.084,0.212)","0.326(0.257,0.396)","NA","NA","NA","0.003(0,0.021)"
"Age_z,Limbic_z,sex","0.000(-0.001,0.001)","0.464(0.406,0.524)","NA","NA","0(0,0.006)","0.004(0.000,0.019)","NA"
"Age_z,Limbic_Wz,sex","0.000(0.000,0.001)","0.464(0.408,0.522)","NA","0.001(0.000,0.009)","NA","0.004(0.000,0.020)","NA"
"Limbic_z,Limbic_Wz,sex","0.000(0.000,0.000)","0.023(0.006,0.063)","0.441(0.376,0.498)","NA","NA","0.115(0.070,0.174)","NA"
"Age_z,motion,sex","0.002(-0.001,0.010)","0.468(0.410,0.526)","NA","0.000(0.000,0.008)","0(0,0.006)","NA","NA"
"Limbic_z,motion,sex","0.000(0.000,0.000)","0.138(0.088,0.215)","0.330(0.260,0.401)","NA","0(0,0.009)","NA","NA"
"Limbic_Wz,motion,sex","0.000(0.000,0.000)","0.130(0.082,0.201)","0.337(0.270,0.405)","0.008(0.000,0.029)","NA","NA","NA"
"Age_z,Limbic_z,Limbic_Wz,motion","0.000(-0.001,0.002)","0.462(0.404,0.523)","NA","NA","NA","NA","0.006(0,0.021)"
"Age_z,Limbic_z,Limbic_Wz,sex","0.000(0.000,0.000)","0.465(0.408,0.524)","NA","NA","NA","0.004(0.000,0.019)","NA"
"Age_z,Limbic_z,motion,sex","0.000(-0.001,0.001)","0.468(0.412,0.527)","NA","NA","0(0,0.006)","NA","NA"
"Age_z,Limbic_Wz,motion,sex","0.000(0.000,0.000)","0.468(0.412,0.527)","NA","0.000(0.000,0.008)","NA","NA","NA"
"Limbic_z,Limbic_Wz,motion,sex","0.000(0.000,0.000)","0.139(0.089,0.217)","0.330(0.260,0.400)","NA","NA","NA","NA"
"Age_z,Limbic_z,Limbic_Wz,motion,sex","0.000(0.000,0.000)","0.468(0.412,0.528)","NA","NA","NA","NA","NA"
