"","Commonality","R2","Age_z.Inc","VAN_z.Inc","VAN_Wz.Inc","Motion_z.Inc","sex.Inc"
"Age_z","0.310(0.245,0.373)","0.457(0.396,0.512)","NA","0.007(0.001,0.020)","0.000(0,0.006)","0.005(0.000,0.022)","0.007(0.001,0.021)"
"VAN_z","0.008(0.001,0.020)","0.048(0.018,0.091)","0.415(0.354,0.476)","NA","0.007(0,0.032)","0.110(0.061,0.169)","0.010(0.000,0.032)"
"VAN_Wz","0.000(0.000,0.005)","0.015(0.001,0.048)","0.442(0.380,0.499)","0.040(0.013,0.080)","NA","0.118(0.065,0.184)","0.004(0.000,0.021)"
"Motion_z","0.003(0.000,0.018)","0.127(0.074,0.193)","0.334(0.270,0.404)","0.032(0.010,0.063)","0.006(0,0.029)","NA","0.003(0.000,0.019)"
"sex","0.008(0.001,0.022)","0.006(0.000,0.025)","0.458(0.397,0.514)","0.052(0.021,0.096)","0.013(0,0.044)","0.124(0.070,0.189)","NA"
"Age_z,VAN_z","0.022(0.006,0.046)","0.464(0.406,0.522)","NA","NA","0.000(0,0.005)","0.004(0.000,0.020)","0.009(0.001,0.023)"
"Age_z,VAN_Wz","0.002(-0.004,0.014)","0.457(0.397,0.514)","NA","0.007(0.001,0.019)","NA","0.004(0.000,0.021)","0.007(0.000,0.021)"
"VAN_z,VAN_Wz","0.000(-0.002,0.002)","0.056(0.024,0.105)","0.408(0.344,0.466)","NA","NA","0.106(0.057,0.164)","0.007(0.000,0.028)"
"Age_z,Motion_z","0.099(0.053,0.145)","0.461(0.404,0.520)","NA","0.007(0.001,0.019)","0.000(0,0.006)","NA","0.006(0.000,0.019)"
"VAN_z,Motion_z","0.000(-0.001,0.003)","0.159(0.101,0.226)","0.309(0.245,0.375)","NA","0.003(0,0.018)","NA","0.005(0.000,0.022)"
"VAN_Wz,Motion_z","0.000(-0.001,0.000)","0.134(0.079,0.200)","0.328(0.263,0.397)","0.028(0.008,0.058)","NA","NA","0.002(0.000,0.016)"
"Age_z,sex","-0.003(-0.010,0.006)","0.464(0.403,0.524)","NA","0.008(0.001,0.022)","0.000(0,0.005)","0.004(0.000,0.020)","NA"
"VAN_z,sex","-0.002(-0.004,0.000)","0.058(0.027,0.104)","0.414(0.350,0.473)","NA","0.005(0,0.026)","0.106(0.057,0.164)","NA"
"VAN_Wz,sex","0.000(-0.002,0.002)","0.019(0.004,0.056)","0.444(0.381,0.502)","0.044(0.015,0.085)","NA","0.116(0.063,0.182)","NA"
"Motion_z,sex","0.001(0.000,0.003)","0.130(0.079,0.195)","0.337(0.272,0.404)","0.034(0.012,0.065)","0.005(0,0.027)","NA","NA"
"Age_z,VAN_z,VAN_Wz","0.004(0.000,0.011)","0.464(0.406,0.522)","NA","NA","NA","0.004(0.000,0.020)","0.009(0.001,0.024)"
"Age_z,VAN_z,Motion_z","0.013(0.002,0.029)","0.468(0.409,0.525)","NA","NA","0.000(0,0.005)","NA","0.008(0.001,0.022)"
"Age_z,VAN_Wz,Motion_z","0.004(-0.001,0.013)","0.461(0.405,0.521)","NA","0.006(0.001,0.018)","NA","NA","0.006(0.000,0.019)"
"VAN_z,VAN_Wz,Motion_z","0.000(0.000,0.000)","0.161(0.104,0.231)","0.306(0.243,0.374)","NA","NA","NA","0.004(0.000,0.021)"
"Age_z,VAN_z,sex","-0.001(-0.003,0.002)","0.472(0.417,0.529)","NA","NA","0.000(0,0.005)","0.003(0.000,0.018)","NA"
"Age_z,VAN_Wz,sex","0.001(0.000,0.003)","0.464(0.406,0.524)","NA","0.008(0.001,0.022)","NA","0.004(0.000,0.020)","NA"
"VAN_z,VAN_Wz,sex","0.000(0.000,0.001)","0.063(0.031,0.116)","0.409(0.342,0.467)","NA","NA","0.103(0.054,0.160)","NA"
"Age_z,Motion_z,sex","0.002(-0.001,0.009)","0.468(0.411,0.527)","NA","0.008(0.001,0.020)","0.000(0,0.005)","NA","NA"
"VAN_z,Motion_z,sex","0.000(0.000,0.000)","0.164(0.108,0.231)","0.311(0.247,0.377)","NA","0.002(0,0.015)","NA","NA"
"VAN_Wz,Motion_z,sex","0.000(0.000,0.000)","0.136(0.086,0.204)","0.332(0.266,0.400)","0.030(0.010,0.062)","NA","NA","NA"
"Age_z,VAN_z,VAN_Wz,Motion_z","0.004(0.001,0.009)","0.468(0.410,0.526)","NA","NA","NA","NA","0.008(0.001,0.022)"
"Age_z,VAN_z,VAN_Wz,sex","0.000(-0.001,0.001)","0.472(0.417,0.531)","NA","NA","NA","0.003(0.000,0.018)","NA"
"Age_z,VAN_z,Motion_z,sex","-0.001(-0.003,0.000)","0.476(0.421,0.534)","NA","NA","0.000(0,0.005)","NA","NA"
"Age_z,VAN_Wz,Motion_z,sex","0.001(0.000,0.004)","0.468(0.411,0.528)","NA","0.008(0.001,0.020)","NA","NA","NA"
"VAN_z,VAN_Wz,Motion_z,sex","0.000(0.000,0.000)","0.166(0.112,0.235)","0.310(0.245,0.373)","NA","NA","NA","NA"
"Age_z,VAN_z,VAN_Wz,Motion_z,sex","0.000(-0.001,0.001)","0.476(0.421,0.535)","NA","NA","NA","NA","NA"
