"","Commonality","R2","Age_z.Inc","Visual_z.Inc","Visual_Wz.Inc","Motion_z.Inc","sex.Inc"
"Age_z","0.333(0.268,0.400)","0.457(0.396,0.514)","NA","0.000(0,0.007)","0.000(0,0.007)","0.005(0.000,0.019)","0.007(0.001,0.023)"
"Visual_z","0.001(0.000,0.008)","0.004(0.000,0.024)","0.453(0.392,0.509)","NA","0.003(0,0.025)","0.126(0.070,0.187)","0.007(0.000,0.030)"
"Visual_Wz","0.000(0.000,0.006)","0.004(0.000,0.027)","0.452(0.393,0.507)","0.003(0,0.021)","NA","0.124(0.070,0.185)","0.008(0.000,0.032)"
"Motion_z","0.004(0.000,0.017)","0.127(0.070,0.188)","0.334(0.273,0.405)","0.003(0,0.019)","0.001(0,0.016)","NA","0.003(0.000,0.020)"
"sex","0.006(0.000,0.021)","0.006(0.000,0.028)","0.458(0.396,0.513)","0.005(0,0.024)","0.006(0,0.030)","0.124(0.068,0.181)","NA"
"Age_z,Visual_z","0.003(-0.002,0.014)","0.457(0.397,0.515)","NA","NA","0.000(0,0.006)","0.005(0.000,0.019)","0.007(0.001,0.023)"
"Age_z,Visual_Wz","0.001(-0.003,0.012)","0.457(0.399,0.515)","NA","0.000(0,0.007)","NA","0.005(0.000,0.019)","0.007(0.001,0.022)"
"Visual_z,Visual_Wz","0.000(-0.001,0.001)","0.008(0.001,0.037)","0.449(0.390,0.504)","NA","NA","0.124(0.067,0.183)","0.008(0.000,0.034)"
"Age_z,Motion_z","0.116(0.064,0.162)","0.461(0.401,0.518)","NA","0.000(0,0.007)","0.000(0,0.007)","NA","0.006(0.000,0.022)"
"Visual_z,Motion_z","0.000(-0.001,0.000)","0.131(0.075,0.194)","0.331(0.270,0.403)","NA","0.001(0,0.015)","NA","0.004(0.000,0.021)"
"Visual_Wz,Motion_z","0.000(-0.001,0.001)","0.128(0.073,0.190)","0.333(0.271,0.402)","0.003(0,0.018)","NA","NA","0.004(0.000,0.021)"
"Age_z,sex","-0.002(-0.009,0.007)","0.464(0.409,0.519)","NA","0.001(0,0.008)","0.000(0,0.007)","0.004(0.000,0.017)","NA"
"Visual_z,sex","0.000(-0.001,0.000)","0.011(0.001,0.038)","0.453(0.392,0.508)","NA","0.005(0,0.028)","0.123(0.067,0.179)","NA"
"Visual_Wz,sex","0.000(-0.002,0.002)","0.012(0.002,0.043)","0.452(0.388,0.507)","0.004(0,0.023)","NA","0.120(0.067,0.177)","NA"
"Motion_z,sex","0.001(0.000,0.003)","0.130(0.076,0.193)","0.337(0.274,0.407)","0.004(0,0.020)","0.002(0,0.018)","NA","NA"
"Age_z,Visual_z,Visual_Wz","0.000(0.000,0.002)","0.457(0.400,0.516)","NA","NA","NA","0.005(0.000,0.019)","0.007(0.001,0.023)"
"Age_z,Visual_z,Motion_z","0.001(-0.003,0.006)","0.462(0.402,0.520)","NA","NA","0.000(0,0.007)","NA","0.007(0.000,0.022)"
"Age_z,Visual_Wz,Motion_z","0.004(-0.002,0.014)","0.461(0.403,0.520)","NA","0.000(0,0.007)","NA","NA","0.006(0.000,0.021)"
"Visual_z,Visual_Wz,Motion_z","0.000(0.000,0.000)","0.131(0.079,0.196)","0.330(0.268,0.399)","NA","NA","NA","0.004(0.000,0.022)"
"Age_z,Visual_z,sex","0.000(-0.001,0.001)","0.464(0.409,0.521)","NA","NA","0.000(0,0.007)","0.004(0.000,0.017)","NA"
"Age_z,Visual_Wz,sex","-0.001(-0.003,0.001)","0.464(0.409,0.521)","NA","0.001(0,0.008)","NA","0.004(0.000,0.017)","NA"
"Visual_z,Visual_Wz,sex","0.000(0.000,0.000)","0.016(0.004,0.050)","0.448(0.385,0.504)","NA","NA","0.119(0.065,0.176)","NA"
"Age_z,Motion_z,sex","0.003(-0.001,0.013)","0.468(0.414,0.524)","NA","0.001(0,0.008)","0.000(0,0.006)","NA","NA"
"Visual_z,Motion_z,sex","0.000(0.000,0.000)","0.134(0.081,0.201)","0.334(0.270,0.404)","NA","0.001(0,0.017)","NA","NA"
"Visual_Wz,Motion_z,sex","0.000(0.000,0.000)","0.132(0.078,0.198)","0.336(0.273,0.403)","0.004(0,0.019)","NA","NA","NA"
"Age_z,Visual_z,Visual_Wz,Motion_z","0.001(0.000,0.002)","0.462(0.404,0.521)","NA","NA","NA","NA","0.006(0.000,0.021)"
"Age_z,Visual_z,Visual_Wz,sex","0.000(0.000,0.000)","0.464(0.411,0.522)","NA","NA","NA","0.004(0.000,0.017)","NA"
"Age_z,Visual_z,Motion_z,sex","0.000(-0.001,0.000)","0.468(0.415,0.525)","NA","NA","0.000(0,0.006)","NA","NA"
"Age_z,Visual_Wz,Motion_z,sex","-0.001(-0.003,0.000)","0.468(0.415,0.525)","NA","0.001(0,0.008)","NA","NA","NA"
"Visual_z,Visual_Wz,Motion_z,sex","0.000(0.000,0.000)","0.135(0.084,0.204)","0.333(0.268,0.400)","NA","NA","NA","NA"
"Age_z,Visual_z,Visual_Wz,Motion_z,sex","0.000(0.000,0.000)","0.468(0.415,0.526)","NA","NA","NA","NA","NA"
